"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"000014","field9 = Female & field3 = HS-grad","field12 = <=50K",0.10408,3389,0.09714,3163,0.93331,0.01812,1.22935,1.83004e-81,0.75919,24720
"000015","field9 = Female & field4 = EduNum9","field12 = <=50K",0.10408,3389,0.09714,3163,0.93331,0.01812,1.22935,1.83004e-81,0.75919,24720
"000016","field10 = Hour21-35","field12 = <=50K",0.12137,3952,0.10949,3565,0.90207,0.01734,1.18821,5.56548e-131,0.75919,24720
"000017","field9 = Female & field7 = Unmarried","field12 = <=50K",0.08151,2654,0.07807,2542,0.9578,0.01619,1.26161,7.72691e-18,0.75919,24720
"000018","field10 = Hour1-20","field12 = <=50K",0.08992,2928,0.08393,2733,0.9334,0.01567,1.22947,9.26075e-149,0.75919,24720
"000019","field2 = Private","field12 = <=50K",0.69703,22696,0.54461,17733,0.78133,0.01543,1.02916,8.75841e-45,0.75919,24720
"00001a","field4 = EduNum9 & field7 = Not-in-family","field12 = <=50K",0.0773,2517,0.0738,2403,0.95471,0.01511,1.25753,2.06548e-34,0.75919,24720
"00001b","field3 = HS-grad & field7 = Not-in-family","field12 = <=50K",0.0773,2517,0.0738,2403,0.95471,0.01511,1.25753,2.06548e-34,0.75919,24720
"00001c","field9 = Female & field4 = EduNum10","field12 = <=50K",0.08618,2806,0.08013,2609,0.92979,0.0147,1.22472,4.1299e-106,0.75919,24720
"00001d","field9 = Female & field3 = Some-college","field12 = <=50K",0.08618,2806,0.08013,2609,0.92979,0.0147,1.22472,4.1299e-106,0.75919,24720
"00001e","field2 = Private & field10 = Hour21-35","field12 = <=50K",0.08357,2721,0.07776,2532,0.93054,0.01432,1.2257,4.39774e-18,0.75919,24720
"00001f","field9 = Female & field5 = Divorced","field12 = <=50K",0.08206,2672,0.07656,2493,0.93301,0.01426,1.22895,5.35036e-23,0.75919,24720
"000020","field5 = Never-married & field10 = Hour21-35","field12 = <=50K",0.0586,1908,0.05786,1884,0.98742,0.01337,1.30062,1.12634e-80,0.75919,24720
"000021","field6 = Adm-clerical","field12 = <=50K",0.11578,3770,0.10021,3263,0.86552,0.01231,1.14005,3.5035e-66,0.75919,24720
"000022","field7 = Not-in-family & field1 = Age24-31","field12 = <=50K",0.06821,2221,0.06406,2086,0.93922,0.01228,1.23713,3.54679e-32,0.75919,24720
"000023","field5 = Never-married & field10 = Hour1-20","field12 = <=50K",0.04975,1620,0.0496,1615,0.99691,0.01183,1.31313,1.48915e-62,0.75919,24720
