Rule ID,Antecedent,Consequent,Antecedent Coverage %,Antecedent Coverage,Support %,Support,Confidence,Leverage,Lift,p-value,Consequent Coverage %,Consequent Coverage
0,field7 = Husband & field3 = Prof-school,field12 = >50K,0.01182,385,0.00995,324,0.84156,0.0071,3.49471,5.56E-16,0.24081,7841
1,field7 = Husband & field4 = EduNum15,field12 = >50K,0.01182,385,0.00995,324,0.84156,0.0071,3.49471,5.56E-16,0.24081,7841
2,field5 = Married-civ-spouse & field3 = Prof-school,field12 = >50K,0.01265,412,0.01063,346,0.83981,0.00758,3.48743,1.54E-18,0.24081,7841
3,field5 = Married-civ-spouse & field4 = EduNum15,field12 = >50K,0.01265,412,0.01063,346,0.83981,0.00758,3.48743,1.54E-18,0.24081,7841
4,field7 = Husband & field4 = EduNum16,field12 = >50K,0.00814,265,0.00682,222,0.83774,0.00486,3.47883,3.12E-09,0.24081,7841
5,field7 = Husband & field3 = Doctorate,field12 = >50K,0.00814,265,0.00682,222,0.83774,0.00486,3.47883,3.12E-09,0.24081,7841
6,field5 = Married-civ-spouse & field3 = Doctorate,field12 = >50K,0.00878,286,0.00734,239,0.83566,0.00522,3.47023,1.36E-10,0.24081,7841
7,field5 = Married-civ-spouse & field4 = EduNum16,field12 = >50K,0.00878,286,0.00734,239,0.83566,0.00522,3.47023,1.36E-10,0.24081,7841
8,field9 = Male & field6 = Exec-managerial & field4 = EduNum14,field12 = >50K,0.01207,393,0.00986,321,0.81679,0.00695,3.39187,4.93E-12,0.24081,7841
9,field9 = Male & field6 = Exec-managerial & field3 = Masters,field12 = >50K,0.01207,393,0.00986,321,0.81679,0.00695,3.39187,4.93E-12,0.24081,7841
00000a,field3 = Masters & field7 = Wife,field12 = >50K,0.00344,112,0.00279,91,0.8125,0.00197,3.37404,2.61E-14,0.24081,7841
00000b,field4 = EduNum14 & field7 = Wife,field12 = >50K,0.00344,112,0.00279,91,0.8125,0.00197,3.37404,2.61E-14,0.24081,7841
00000c,field7 = Husband & field3 = Bachelors & field6 = Exec-managerial,field12 = >50K,0.02371,772,0.01876,611,0.79145,0.01306,3.28663,1.39E-82,0.24081,7841
00000d,field7 = Husband & field4 = EduNum13 & field6 = Exec-managerial,field12 = >50K,0.02371,772,0.01876,611,0.79145,0.01306,3.28663,1.39E-82,0.24081,7841
00000e,field9 = Male & field4 = EduNum15,field12 = >50K,0.01486,484,0.0117,381,0.78719,0.00812,3.26893,4.46E-10,0.24081,7841
00000f,field9 = Male & field3 = Prof-school,field12 = >50K,0.01486,484,0.0117,381,0.78719,0.00812,3.26893,4.46E-10,0.24081,7841
10,field5 = Married-civ-spouse & field3 = Bachelors & field6 = Exec-managerial,field12 = >50K,0.02607,849,0.02039,664,0.7821,0.01411,3.24778,1.08E-95,0.24081,7841
